angle	ws (m/s)	Freq
153	14	0.000383655
153	15	0.000304672
153	16	0.000232547
153	17	0.000170568
153	18	0.000120191
153	19	8.13E-05
153	20	5.28E-05
153	21	3.29E-05
153	22	1.97E-05
153	23	1.13E-05
153	24	6.20E-06
153	25	3.26E-06
156	4	0.000353968
156	5	0.000458672
156	6	0.000549144
156	7	0.000617543
156	8	0.000658393
156	9	0.000669206
156	10	0.000650711
156	11	0.00060661
156	12	0.000542881
156	13	0.000466785
156	14	0.00038577
156	15	0.000306482
156	16	0.000234064
156	17	0.000171807
156	18	0.000121174
156	19	8.21E-05
156	20	5.34E-05
156	21	3.33E-05
156	22	2.00E-05
156	23	1.15E-05
156	24	6.31E-06
156	25	3.32E-06
159	4	0.00035793
159	5	0.000464295
159	6	0.000556435
159	7	0.000626363
159	8	0.00066846
159	9	0.00068012
159	10	0.000661998
159	11	0.00061777
159	12	0.000553448
159	13	0.000476375
159	14	0.000394115
159	15	0.000313448
159	16	0.00023964
159	17	0.000176088
159	18	0.000124325
159	19	8.43E-05
159	20	5.49E-05
159	21	3.43E-05
159	22	2.06E-05
159	23	1.18E-05
159	24	6.51E-06
159	25	3.43E-06
162	4	0.000362829
162	5	0.000471815
162	6	0.000566744
162	7	0.000639363
162	8	0.00068378
162	9	0.000697147
162	10	0.000679944
162	11	0.000635771
162	12	0.00057067
162	13	0.000492113
162	14	0.000407863
162	15	0.000324933
162	16	0.000248819
162	17	0.000183104
162	18	0.000129453
162	19	8.79E-05
162	20	5.73E-05
162	21	3.58E-05
162	22	2.15E-05
162	23	1.24E-05
162	24	6.81E-06
162	25	3.59E-06
165	4	0.000368429
165	5	0.000480764
165	6	0.000579349
165	7	0.000655581
165	8	0.000703197
165	9	0.000719006
165	10	0.000703232
165	11	0.000659345
165	12	0.0005934
165	13	0.000513022
165	14	0.000426232
165	15	0.000340354
165	16	0.00026119
165	17	0.000192591
165	18	0.000136405
165	19	9.28E-05
165	20	6.05E-05
165	21	3.79E-05
165	22	2.28E-05
165	23	1.31E-05
165	24	7.21E-06
165	25	3.80E-06
168	4	0.000374518
168	5	0.000490695
168	6	0.000593543
168	7	0.00067406
168	8	0.000725547
168	9	0.000744401
168	10	0.000730521
168	11	0.000687192
168	12	0.000620459
168	13	0.000538101
168	14	0.000448425
168	15	0.000359115
168	16	0.000276348
168	17	0.000204294
168	18	0.000145038
168	19	9.88E-05
168	20	6.46E-05
168	21	4.05E-05
168	22	2.44E-05
168	23	1.40E-05
168	24	7.73E-06
168	25	4.08E-06
171	4	0.000380956
171	5	0.000501239
171	6	0.000608693
171	7	0.000693902
171	8	0.000749704
171	9	0.000772041
171	10	0.000760442
171	11	0.000717964
171	12	0.000650604
171	13	0.000566276
171	14	0.000473576
171	15	0.000380571
171	16	0.000293843
171	17	0.000217931
171	18	0.000155199
171	19	0.00010608
171	20	6.96E-05
171	21	4.37E-05
171	22	2.63E-05
171	23	1.52E-05
171	24	8.39E-06
171	25	4.43E-06
174	4	0.000387704
174	5	0.000512146
174	6	0.000624285
174	7	0.000714313
174	8	0.00077461
174	9	0.000800665
174	10	0.000791617
174	11	0.000750262
174	12	0.00068251
174	13	0.000596377
174	14	0.000500719
174	15	0.000403978
174	16	0.000313152
174	17	0.000233165
174	18	0.000166695
174	19	0.000114374
174	20	7.53E-05
174	21	4.75E-05
174	22	2.87E-05
174	23	1.66E-05
174	24	9.21E-06
174	25	4.88E-06
177	4	0.000394838
177	5	0.000523301
177	6	0.000639948
177	7	0.000734624
177	8	0.000799309
177	9	0.000829071
177	10	0.000822673
177	11	0.000782642
177	12	0.000714768
177	13	0.000627119
177	14	0.000528764
177	15	0.000428476
177	16	0.000333644
177	17	0.000249579
177	18	0.000179279
177	19	0.000123608
177	20	8.18E-05
177	21	5.18E-05
177	22	3.15E-05
177	23	1.83E-05
177	24	1.02E-05
177	25	5.44E-06
180	4	0.00040255
180	5	0.000534726
180	6	0.000655452
180	7	0.00075431
180	8	0.00082296
180	9	0.000856131
180	10	0.000852265
180	11	0.000813636
180	12	0.000745896
180	13	0.000657112
180	14	0.000556494
180	15	0.000453074
180	16	0.000354572
180	17	0.000266653
180	18	0.00019263
180	19	0.000133608
180	20	8.89E-05
180	21	5.68E-05
180	22	3.47E-05
